ExtensionSimpleMultimedia:identifier,ExtensionSimpleMultimedia:rightsHolder,ExtensionSimpleMultimedia:license,occurrenceID,type,identifier,rightsHolder,publisher,license,datasetID
"<a href=""https://resolver.libis.be/FL17306063/stream"" target=""_url_details"">https://resolver.libis.be/FL17306063/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000022,StillImage,"<a href=""https://resolver.libis.be/FL17306063/stream"" target=""_url_details"">https://resolver.libis.be/FL17306063/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306064/stream"" target=""_url_details"">https://resolver.libis.be/FL17306064/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000022,StillImage," <a href=""https://resolver.libis.be/FL17306064/stream"" target=""_url_details"">https://resolver.libis.be/FL17306064/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17306077/stream"" target=""_url_details"">https://resolver.libis.be/FL17306077/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000023,StillImage,"<a href=""https://resolver.libis.be/FL17306077/stream"" target=""_url_details"">https://resolver.libis.be/FL17306077/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306078/stream"" target=""_url_details"">https://resolver.libis.be/FL17306078/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000023,StillImage," <a href=""https://resolver.libis.be/FL17306078/stream"" target=""_url_details"">https://resolver.libis.be/FL17306078/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306079/stream"" target=""_url_details"">https://resolver.libis.be/FL17306079/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000023,StillImage," <a href=""https://resolver.libis.be/FL17306079/stream"" target=""_url_details"">https://resolver.libis.be/FL17306079/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17306098/stream"" target=""_url_details"">https://resolver.libis.be/FL17306098/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000024,StillImage,"<a href=""https://resolver.libis.be/FL17306098/stream"" target=""_url_details"">https://resolver.libis.be/FL17306098/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306099/stream"" target=""_url_details"">https://resolver.libis.be/FL17306099/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000024,StillImage," <a href=""https://resolver.libis.be/FL17306099/stream"" target=""_url_details"">https://resolver.libis.be/FL17306099/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306100/stream"" target=""_url_details"">https://resolver.libis.be/FL17306100/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000024,StillImage," <a href=""https://resolver.libis.be/FL17306100/stream"" target=""_url_details"">https://resolver.libis.be/FL17306100/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17306105/stream"" target=""_url_details"">https://resolver.libis.be/FL17306105/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000025,StillImage,"<a href=""https://resolver.libis.be/FL17306105/stream"" target=""_url_details"">https://resolver.libis.be/FL17306105/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306106/stream"" target=""_url_details"">https://resolver.libis.be/FL17306106/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000025,StillImage," <a href=""https://resolver.libis.be/FL17306106/stream"" target=""_url_details"">https://resolver.libis.be/FL17306106/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
